Unnamed: 0,outcome,ss-1,ts-1,knocks-1,tkd-lnd-1,tkd-att-1,sub-att-1,h-tar-1,b-tar-1,l-tar-1,dist-pos-1,clinch-pos-1,ground-pos-1,r1-ts-1,r1-ss-1,r2-ts-1,r2-ss-1,r3-ts-1,r3-ss-1,r4-ts-1,r4-ss-1,r5-ts-1,r5-ss-1,r1-td-1,r2-td-1,r3-td-1,r4-td-1,r5-td-1,r1-kd-1,r2-kd-1,r3-kd-1,r4-kd-1,r5-kd-1,age-1,height-1,weight-1,reach-1,leg_reach-1,ranking-1,ss-2,ts-2,knocks-2,tkd-lnd-2,tkd-att-2,sub-att-2,h-tar-2,b-tar-2,l-tar-2,dist-pos-2,clinch-pos-2,ground-pos-2,r1-ts-2,r1-ss-2,r2-ts-2,r2-ss-2,r3-ts-2,r3-ss-2,r4-ts-2,r4-ss-2,r5-ts-2,r5-ss-2,r1-td-2,r2-td-2,r3-td-2,r4-td-2,r5-td-2,r1-kd-2,r2-kd-2,r3-kd-2,r4-kd-2,r5-kd-2,age-2,height-2,weight-2,reach-2,leg_reach-2,ranking-2
0,0,98,137,0,9,13.0,0,52,35,11,96,2,0,3,0,19.0,10.0,89.0,29.0,72.0,37.0,57.0,22.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,32.0,74.0,183.0,75.0,40.0,1763.677860186107,123,160,0,0,0.0,0,118,5,0,119,1,3,0,0,38.0,15.0,100.0,43.0,86.0,34.0,88.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,73.0,185.0,76.0,41.5,1784.414206696537
1,1,131,190,2,1,2.0,2,118,12,1,104,9,18,13,7,32.0,21.0,89.0,57.0,37.0,19.0,38.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,24.0,65.0,124.5,65.0,35.0,2173.922762149354,55,100,0,8,16.0,0,45,3,7,43,4,8,26,16,19.0,5.0,49.0,14.0,34.0,13.0,23.0,7.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,67.0,126.0,70.0,38.0,1861.5897405453268
2,1,88,88,0,0,0.0,0,22,23,43,88,0,0,44,33,56.0,34.0,43.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,79.0,261.5,80.0,47.5,2126.595439132528,54,54,0,0,,0,30,6,18,53,1,0,33,15,47.0,22.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,76.0,262.0,78.0,43.5,1458.098835173824
3,1,77,245,0,4,10.0,0,76,0,1,6,0,71,68,34,52.0,18.0,60.0,25.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,70.0,169.4,72.0,40.0,1580.706361265154,5,21,0,0,0.0,0,2,2,1,5,0,0,8,1,16.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,70.0,171.0,76.0,40.0,1629.4008933433363
4,1,57,64,0,1,1.0,1,44,9,4,22,0,35,87,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,70.0,158.5,71.0,40.0,1525.0956993381133,5,7,0,0,0.0,1,3,0,2,4,1,0,13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,68.5,155.0,71.0,38.5,151.87262993992618
5,1,23,27,1,0,0.0,0,15,6,2,20,1,2,55,12,27.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,76.0,186.0,81.0,44.0,1767.9947676377135,6,8,0,0,,0,5,1,0,6,0,0,12,4,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,76.0,185.0,79.0,42.0,1479.913348084732
6,0,8,9,0,0,0.0,0,7,1,0,8,0,0,6,2,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,74.0,171.0,77.0,42.0,1764.3539052734482,16,22,0,6,,1,11,1,4,9,5,2,17,10,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,72.0,170.0,75.0,44.5,1516.564306305385
7,1,35,71,0,1,3.0,4,19,14,2,24,6,5,21,13,69.0,20.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,70.0,156.0,72.0,40.0,2322.3303485057518,33,49,1,1,3.0,0,27,1,5,27,4,2,11,8,51.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,67.0,155.5,66.0,36.5,1350.5724169434716
8,1,9,10,0,0,0.0,1,5,3,1,9,0,0,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,68.0,156.0,71.0,40.0,3228.5364628350007,7,8,0,2,,0,4,2,1,7,0,0,16,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,69.0,156.0,68.0,38.0,1455.905619046911
9,1,61,69,3,1,1.0,0,46,12,3,46,4,11,39,15,44.0,22.0,41.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,34.0,72.0,185.2,75.0,41.0,1544.672705703936,62,80,0,0,0.0,0,28,18,16,62,0,0,61,22,57.0,26.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,72.0,185.5,74.5,41.0,1545.7026527542234
